Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,2.5499,0.2437,1.4175,0.5324
2,1.3424,0.8034,0.2850,0.9768
3,1.1409,0.8636,0.2325,0.9835
4,1.1178,0.8536,0.1906,0.9852
5,1.0835,0.8688,0.1570,0.9866
6,1.0279,0.8760,0.1939,0.9862
7,1.0215,0.8935,0.2046,0.9884
8,1.0254,0.9043,0.2271,0.9895
9,1.0206,0.9034,0.1745,0.9897
10,0.9719,0.9365,0.2371,0.9874
11,1.0028,0.9160,0.2112,0.9908
12,1.0025,0.9179,0.1849,0.9897
13,0.9645,0.9323,0.1580,0.9909
14,0.9595,0.9419,0.1692,0.9901
15,0.9879,0.9206,0.1919,0.9916
16,0.9626,0.9277,0.1904,0.9911
17,0.9622,0.9421,0.1513,0.9918
18,0.9559,0.9376,0.1627,0.9923
19,0.9567,0.9411,0.1669,0.9922
20,0.9541,0.9451,0.1625,0.9916
