Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,2.2929,0.3267,1.0362,0.7122
2,1.2629,0.8431,0.2642,0.9881
3,1.1166,0.8688,0.2046,0.9905
4,1.0584,0.8793,0.1732,0.9917
5,1.0290,0.8988,0.1659,0.9922
6,1.0204,0.8908,0.2117,0.9892
7,1.0019,0.9160,0.1650,0.9911
8,0.9797,0.9242,0.1622,0.9925
9,0.9847,0.9225,0.1812,0.9909
10,0.9909,0.9182,0.3000,0.9828
11,0.9894,0.9167,0.1973,0.9907
12,0.9739,0.9319,0.1405,0.9935
13,0.9591,0.9318,0.1472,0.9919
14,0.9602,0.9324,0.1545,0.9911
15,0.9654,0.9245,0.1635,0.9930
16,0.9536,0.9375,0.1595,0.9938
17,0.9355,0.9338,0.1570,0.9930
18,0.9621,0.9424,0.1757,0.9923
19,0.9516,0.9438,0.1518,0.9922
20,0.9450,0.9527,0.1581,0.9925
21,0.9389,0.9379,0.1686,0.9921
22,0.9346,0.9462,0.1657,0.9922
23,0.9386,0.9532,0.1614,0.9910
24,0.9538,0.9317,0.1672,0.9929
25,0.9281,0.9490,0.1740,0.9919
26,0.9407,0.9455,0.1584,0.9925
27,0.9312,0.9513,0.1628,0.9928
28,0.9359,0.9527,0.1568,0.9927
29,0.9309,0.9634,0.1404,0.9929
30,0.9339,0.9539,0.1482,0.9934
31,0.9277,0.9650,0.1480,0.9929
32,0.9347,0.9479,0.1637,0.9927
33,0.9307,0.9535,0.1622,0.9928
34,0.9149,0.9579,0.1487,0.9937
35,0.9206,0.9546,0.1567,0.9926
36,0.9128,0.9596,0.1558,0.9936
37,0.9206,0.9630,0.1487,0.9926
38,0.9176,0.9679,0.1391,0.9930
39,0.8981,0.9691,0.1625,0.9926
40,0.9260,0.9661,0.1468,0.9919
41,0.9214,0.9677,0.1392,0.9934
42,0.8997,0.9738,0.1519,0.9933
43,0.9145,0.9692,0.1444,0.9937
44,0.9118,0.9561,0.1462,0.9932
45,0.9219,0.9658,0.1453,0.9940
46,0.9062,0.9741,0.1479,0.9937
47,0.8957,0.9666,0.1469,0.9938
48,0.9139,0.9708,0.1486,0.9938
49,0.9153,0.9719,0.1481,0.9937
50,0.9065,0.9740,0.1507,0.9934
