Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,2.0889,0.1712,2.5519,0.1015
2,1.0536,0.7738,2.2577,0.1756
Epoch,Train_Loss,Train_Acc,Test_Loss,Test_Acc
1,1.7939,0.1698,2.5487,0.1010
2,0.8857,0.7732,2.3056,0.1626
3,0.7519,0.8292,0.4382,0.9539
4,0.6713,0.8616,0.3223,0.9672
5,0.6575,0.8702,0.2604,0.9731
6,0.6555,0.8569,0.2381,0.9772
7,0.6275,0.8862,0.2387,0.9756
8,0.6072,0.8968,0.2126,0.9782
9,0.6033,0.8973,0.2306,0.9812
10,0.5958,0.8987,0.2167,0.9834
11,0.5922,0.8979,0.2013,0.9815
12,0.5808,0.9172,0.1887,0.9820
13,0.5653,0.9166,0.1867,0.9846
14,0.5748,0.9121,0.1908,0.9820
15,0.5778,0.9072,0.2058,0.9815
16,0.5675,0.9212,0.2126,0.9839
17,0.5519,0.9184,0.1791,0.9837
18,0.5660,0.9232,0.2089,0.9828
19,0.5608,0.9265,0.1950,0.9843
20,0.5547,0.9346,0.1913,0.9842
21,0.5493,0.9246,0.1955,0.9828
22,0.5481,0.9273,0.2034,0.9841
23,0.5474,0.9357,0.1674,0.9859
24,0.5621,0.9108,0.1971,0.9854
25,0.5410,0.9342,0.1894,0.9852
26,0.5457,0.9324,0.1910,0.9843
27,0.5405,0.9356,0.2053,0.9853
28,0.5417,0.9368,0.1934,0.9858
29,0.5390,0.9458,0.1768,0.9878
30,0.5416,0.9415,0.1801,0.9859
31,0.5373,0.9462,0.1753,0.9853
32,0.5417,0.9334,0.1883,0.9857
33,0.5389,0.9380,0.2020,0.9857
34,0.5251,0.9395,0.1890,0.9870
35,0.5286,0.9401,0.1815,0.9863
36,0.5228,0.9460,0.1816,0.9874
37,0.5288,0.9404,0.1821,0.9880
38,0.5256,0.9492,0.1695,0.9873
39,0.5123,0.9551,0.1851,0.9876
40,0.5336,0.9467,0.1777,0.9881
41,0.5303,0.9491,0.1699,0.9865
42,0.5124,0.9594,0.1833,0.9869
43,0.5240,0.9554,0.1750,0.9872
44,0.5240,0.9413,0.1732,0.9882
45,0.5278,0.9460,0.1766,0.9878
46,0.5182,0.9539,0.1774,0.9877
47,0.5127,0.9523,0.1762,0.9881
48,0.5234,0.9567,0.1765,0.9878
49,0.5158,0.9578,0.1826,0.9857
50,0.5330,0.9399,0.1925,0.9852
51,0.5337,0.9449,0.1911,0.9876
52,0.5339,0.9420,0.1871,0.9871
53,0.5374,0.9452,0.1910,0.9863
54,0.5352,0.9353,0.1802,0.9878
55,0.5300,0.9503,0.1891,0.9855
56,0.5232,0.9547,0.1749,0.9863
57,0.5258,0.9539,0.1942,0.9866
58,0.5274,0.9436,0.1925,0.9870
59,0.5253,0.9481,0.1803,0.9867
60,0.5222,0.9557,0.1765,0.9863
61,0.5102,0.9553,0.1696,0.9877
62,0.5202,0.9512,0.1831,0.9865
63,0.5237,0.9453,0.1759,0.9875
64,0.5190,0.9565,0.1834,0.9879
65,0.5085,0.9499,0.1764,0.9860
66,0.5228,0.9558,0.1826,0.9877
67,0.5183,0.9585,0.1786,0.9872
68,0.5152,0.9629,0.1707,0.9881
69,0.5107,0.9497,0.1789,0.9868
70,0.5116,0.9533,0.1791,0.9876
71,0.5132,0.9597,0.1638,0.9875
72,0.5250,0.9403,0.1754,0.9880
73,0.5091,0.9547,0.1765,0.9875
74,0.5161,0.9558,0.1731,0.9890
75,0.5113,0.9560,0.1846,0.9866
76,0.5134,0.9563,0.1758,0.9882
77,0.5122,0.9647,0.1689,0.9882
78,0.5154,0.9588,0.1670,0.9881
79,0.5126,0.9645,0.1686,0.9882
80,0.5175,0.9516,0.1742,0.9874
81,0.5159,0.9545,0.1739,0.9875
82,0.5046,0.9553,0.1735,0.9879
83,0.5093,0.9558,0.1692,0.9890
84,0.5042,0.9580,0.1712,0.9889
85,0.5119,0.9566,0.1697,0.9880
86,0.5095,0.9623,0.1662,0.9883
87,0.4982,0.9638,0.1704,0.9877
88,0.5185,0.9595,0.1717,0.9883
89,0.5160,0.9610,0.1658,0.9884
90,0.5005,0.9682,0.1709,0.9894
91,0.5113,0.9632,0.1654,0.9882
92,0.5113,0.9488,0.1665,0.9882
93,0.5163,0.9555,0.1683,0.9885
94,0.5079,0.9633,0.1703,0.9884
95,0.5028,0.9585,0.1686,0.9886
96,0.5132,0.9644,0.1680,0.9884
97,0.5145,0.9615,0.1690,0.9883
98,0.5073,0.9657,0.1705,0.9883
99,0.5044,0.9586,0.1685,0.9881
100,0.5108,0.9612,0.1676,0.9885
